户型,楼层,面积,装修情况,价格,小区,区域,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共6层,92.85,平层/简装,230,世嘉光织谷西区,怀柔,配备电梯,2023年10月14日,普通住宅,24772
3室1厅,低楼层/共6层,70.94,平层/简装,179,南华园二区,怀柔,无,2023年10月06日,普通住宅,25233
2室1厅,顶层/共9层,65.99,平层/精装,133,育龙铭居,怀柔,无,2023年09月23日,普通住宅,20155
2室1厅,中楼层/共5层,95.51,平层/精装,186,富乐家园,怀柔,无,2023年09月23日,普通住宅,19475
2室1厅,高楼层/共6层,61.5,平层/精装,138,金善名居,怀柔,无,2023年09月18日,普通住宅,22440
2室1厅,中楼层/共4层,88.76,平层/其他,259,顶秀美泉小镇A区,怀柔,无,2023年09月18日,普通住宅,29180
3室2厅,中楼层/共4层,133.79,平层/精装,359,顶秀美泉小镇A区,怀柔,无,2023年09月16日,普通住宅,26834
3室1厅,中楼层/共6层,95.04,平层/精装,185,凤翔四园,怀柔,无,2023年09月16日,普通住宅,19466
3室1厅,低楼层/共6层,73.1,平层/其他,206,于家园二区北院,怀柔,无,2023年09月03日,普通住宅,28181
1室1厅,低楼层/共15层,48.21,平层/简装,88,裕华园一区,怀柔,配备电梯,2023年09月01日,普通住宅,18254
2室1厅,中楼层/共4层,56.41,平层/简装,158,青春路,怀柔,无,2023年09月01日,普通住宅,28010
2室1厅,中楼层/共5层,57,平层/简装,155,后横街小区,怀柔,无,2023年09月03日,普通住宅,27193
1室1厅,底层/共15层,51.74,平层/简装,93,裕华园一区,怀柔,无,2023年09月02日,普通住宅,17975
3室1厅,中楼层/共6层,84.67,平层/精装,248,商业街,怀柔,无,2023年08月27日,普通住宅,29291
1室1厅,底层/共11层,57.8,平层/简装,168,北京城建胜悦居,怀柔,配备电梯,2023年08月23日,普通住宅,29066
3室1厅,中楼层/共7层,88.15,平层/简装,175,东关一区,怀柔,无,2023年08月24日,普通住宅,19853
2室1厅,底层/共8层,90.08,平层/简装,279,新贤家园,怀柔,配备电梯,2023年08月14日,普通住宅,30973
2室1厅,中楼层/共6层,105.98,平层/精装,370,泊岸,怀柔,无,2023年08月09日,普通住宅,34913
3室1厅,低楼层/共6层,77.97,平层/简装,205,金台园,怀柔,无,2023年08月03日,普通住宅,26293
3室1厅,低楼层/共6层,146.09,平层/其他,330,栖美园,怀柔,配备电梯,2023年08月12日,普通住宅,22589
2室1厅,低楼层/共6层,57.92,平层/简装,144,礼贤街,怀柔,无,2023年07月08日,普通住宅,24862
3室2厅,高楼层/共6层,103.68,平层/简装,253,小中富乐二区,怀柔,无,2023年07月08日,普通住宅,24403
3室1厅,高楼层/共6层,95.04,平层/简装,175,凤翔四园,怀柔,无,2023年07月06日,普通住宅,18414
3室1厅,底层/共6层,70.26,平层/简装,182,滨湖小区,怀柔,无,2023年07月05日,普通住宅,25904
2室1厅,中楼层/共5层,116.5,平层/简装,155,茶坞铁路,怀柔,无,2023年06月29日,普通住宅,13305
2室1厅,底层/共5层,51.04,平层/简装,135,湖光小区,怀柔,无,2023年06月27日,普通住宅,26450
2室1厅,中楼层/共5层,88.83,平层/精装,275,顶秀美泉小镇B区,怀柔,无,2023年06月15日,普通住宅,30959
2室2厅,顶层/共6层,95.15,平层/精装,235,世嘉光织谷西区,怀柔,配备电梯,2023年06月12日,普通住宅,24698
3室1厅,高楼层/共6层,71.73,平层/简装,179,青春路九院,怀柔,无,2023年06月10日,普通住宅,24955
3室1厅,中楼层/共6层,97.76,平层/其他,278,潘家园小区,怀柔,无,2023年06月10日,普通住宅,28437
2室2厅,底层/共6层,87.05,平层/简装,270,于家园三区,怀柔,无,2023年06月01日,普通住宅,31017
2室1厅,中楼层/共4层,88.02,平层/简装,260,顶秀美泉小镇C区,怀柔,无,2023年05月18日,普通住宅,29539
3室1厅,高楼层/共6层,100.04,平层/简装,175,幸福东园2号院,怀柔,无,2023年05月17日,普通住宅,17494
3室1厅,中楼层/共5层,117.17,平层/简装,330,顶秀美泉小镇C区,怀柔,无,2023年05月04日,普通住宅,28165
2室1厅,低楼层/共13层,68.87,平层/简装,135,柏泉庄园雁鸣园B区,怀柔,配备电梯,2023年05月02日,普通住宅,19603
3室1厅,中楼层/共6层,82.63,平层/简装,248,青春苑四院,怀柔,无,2023年04月26日,普通住宅,30014
2室1厅,底层/共4层,88.04,平层/精装,245,顶秀美泉小镇A区,怀柔,无,2023年04月19日,普通住宅,27829
2室1厅,底层/共5层,88.76,平层/精装,259,顶秀美泉小镇B区,怀柔,无,2023年04月10日,普通住宅,29180
2室1厅,中楼层/共6层,62.37,平层/精装,175,青春路七院,怀柔,无,2023年04月06日,普通住宅,28059
2室1厅,顶层/共6层,73.71,平层/简装,168,龙湖花园,怀柔,无,2023年05月04日,普通住宅,22793
3室1厅,底层/共6层,78.21,平层/简装,200,兆龙居小区,怀柔,无,2023年03月06日,普通住宅,25573
2室1厅,中楼层/共9层,88.47,平层/简装,257,青春路六院,怀柔,配备电梯,2023年02月27日,普通住宅,29050
2室2厅,顶层/共6层,68.02,平层/简装,173,于家园二区南院,怀柔,无,2023年02月20日,普通住宅,25434
2室1厅,中楼层/共5层,75.26,平层/简装,170,滨湖小区,怀柔,无,2023年03月01日,普通住宅,22589
3室1厅,中楼层/共6层,83.77,平层/简装,239,南马道,怀柔,无,2023年02月04日,普通住宅,28531
2室1厅,中楼层/共9层,66.03,平层/简装,149,育龙铭居,怀柔,无,2022年12月30日,普通住宅,22566
2室1厅,低楼层/共3层,59.76,平层/简装,69,长城溪溪小镇,怀柔,无,2022年11月18日,普通住宅,11547
2室1厅,中楼层/共5层,80.65,平层/精装,170,金善名居,怀柔,无,2022年12月12日,普通住宅,21079
2室1厅,低楼层/共6层,71.34,平层/简装,163,青春路,怀柔,无,2022年08月10日,普通住宅,22849
2室2厅,中楼层/共6层,96.8,平层/其他,230,栖美园,怀柔,无,2022年07月03日,普通住宅,23761
3室1厅,中楼层/共5层,90.05,平层/精装,208,八龙桥雅苑,怀柔,无,2022年06月22日,普通住宅,23099
3室2厅,中楼层/共5层,132.96,平层/其他,398,顶秀美泉小镇C区,怀柔,无,2022年07月30日,普通住宅,29934
3室1厅,顶层/共6层,101.17,平层/简装,220,南华园一区,怀柔,无,2022年04月23日,普通住宅,21746
5室2厅,底层/共6层,234.19,复式/其他,720,泊岸,怀柔,配备电梯,2022年04月22日,普通住宅,30745
3室1厅,顶层/共7层,73.93,平层/精装,165,龍祥小區,怀柔,无,2022年04月25日,普通住宅,22319
1室1厅,低楼层/共17层,70.31,平层/精装,120,安乐馨居,怀柔,配备电梯,2022年12月04日,普通住宅,17068
1室1厅,中楼层/共6层,58.4,平层/精装,125,华燕家园,怀柔,无,2022年02月23日,普通住宅,21405
2室1厅,中楼层/共11层,71.7,平层/简装,265,新贤家园,怀柔,配备电梯,2022年02月10日,普通住宅,36960
3室2厅,中楼层/共8层,183.1,平层/精装,450,益田影人四季花园,怀柔,配备电梯,2022年01月07日,普通住宅,24577
3室1厅,顶层/共6层,98.48,平层/简装,265,青春苑四院,怀柔,无,2021年11月03日,普通住宅,26910
2室2厅,低楼层/共7层,103.71,平层/精装,249,益田影人四季花园,怀柔,无,2021年11月03日,普通住宅,24010
3室1厅,底层/共6层,88.83,平层/简装,185,融城园南区,怀柔,无,2021年10月16日,普通住宅,20827
4室2厅,底层/共2层,304.02,复式/精装,830,欧郡香水城,怀柔,无,2021年09月29日,普通住宅,27301
2室1厅,底层/共6层,66.56,平层/简装,213,南华大街29号楼,怀柔,无,2021年09月30日,普通住宅,32002
3室1厅,顶层/共5层,118.87,平层/精装,305,南华街小区,怀柔,无,2021年09月01日,普通住宅,25659
3室2厅,高楼层/共9层,132.36,平层/精装,535,府前观邸,怀柔,配备电梯,2021年10月10日,普通住宅,40421
3室2厅,中楼层/共6层,136.35,平层/精装,310,于家园三区,怀柔,无,2023年10月26日,普通住宅,22736
3室2厅,低楼层/共6层,115.89,平层/其他,299,南华园三区,怀柔,无,2021年06月11日,普通住宅,25801
2室1厅,底层/共6层,96.33,平层/精装,289,青春路,怀柔,无,2021年04月24日,普通住宅,30002
2室1厅,底层/共14层,80.1,平层/精装,182,裕华园一区,怀柔,配备电梯,2020年12月15日,普通住宅,22722
2室1厅,顶层/共5层,59.53,平层/精装,142,湖光小区,怀柔,无,2023年12月15日,普通住宅,23854
3室1厅,底层/共6层,73.28,平层/精装,205,于家园二区北院,怀柔,无,2023年12月15日,普通住宅,27975
2室2厅,高楼层/共6层,65.49,平层/简装,180,南华大街,怀柔,无,2023年12月09日,普通住宅,27486
2室1厅,中楼层/共6层,62.36,平层/简装,178,府前东街九院,怀柔,无,2023年11月30日,普通住宅,28544
3室2厅,顶层/共5层,127.8,复式/精装,336,顶秀美泉小镇A区,怀柔,配备电梯,2023年11月17日,普通住宅,26292
3室1厅,中楼层/共6层,92.55,平层/简装,239,于家园二区南院,怀柔,无,2023年11月07日,普通住宅,25824
3室1厅,中楼层/共6层,78.21,平层/精装,235,小中富乐二区,怀柔,无,2023年10月22日,普通住宅,30048
3室3厅,顶层/共6层,157.94,复式/精装,310,钓鱼台小区,怀柔,无,2023年11月10日,普通住宅,19628
4室2厅,顶层/共6层,93.81,复式/精装,195,新村,怀柔,无,2023年10月18日,普通住宅,20787
3室1厅,顶层/共24层,134.34,复式/其他,300,漪澜鑫筑,怀柔,配备电梯,2023年10月09日,普通住宅,22332
2室1厅,顶层/共3层,53.99,平层/简装,68,长城溪溪小镇,怀柔,无,2023年10月08日,普通住宅,12595
4室3厅,底层/共2层,250.85,复式/简装,580,万通龙山新新小镇,怀柔,无,2023年09月29日,普通住宅,23122
2室1厅,底层/共5层,52.59,平层/精装,168,西园,怀柔,无,2023年10月08日,普通住宅,31946
3室1厅,底层/共5层,88.66,平层/精装,185,新元居小区,怀柔,无,2023年09月04日,普通住宅,20867
2室1厅,低楼层/共11层,83.1,平层/精装,315,新贤家园,怀柔,无,2023年08月18日,普通住宅,37907
2室1厅,中楼层/共4层,57.84,平层/简装,138,青春路1号院,怀柔,无,2023年06月24日,普通住宅,23859
2室1厅,高楼层/共7层,87.21,平层/精装,220,世嘉光织谷西区,怀柔,配备电梯,2023年06月29日,普通住宅,25227
3室1厅,高楼层/共6层,89.37,平层/其他,230,小中富乐二区,怀柔,无,2023年03月22日,普通住宅,25736
4室2厅,高楼层/共7层,153.53,复式/精装,420,世嘉光织谷西区,怀柔,配备电梯,2022年01月09日,普通住宅,27357
5室3厅,顶层/共9层,141.12,复式/精装,538,丽湖馨居,怀柔,无,2021年05月12日,普通住宅,38124
2室1厅,中楼层/共14层,80.61,平层/简装,160,裕华园一区,怀柔,配备电梯,2024年01月02日,普通住宅,19849
2室1厅,高楼层/共6层,71.33,平层/精装,172,青春苑四院,怀柔,无,2023年12月27日,普通住宅,24114
3室1厅,顶层/共6层,64.86,平层/其他,150,富乐社区一号院,怀柔,无,2023年12月29日,普通住宅,23127
2室1厅,顶层/共4层,56.79,平层/其他,180,青春路,怀柔,无,2023年12月26日,普通住宅,31696
2室1厅,中楼层/共7层,101.91,平层/精装,228,世嘉光织谷东区,怀柔,配备电梯,2023年12月28日,普通住宅,22373
3室2厅,低楼层/共6层,104.24,平层/其他,310,小中富乐二区,怀柔,无,2023年12月31日,普通住宅,29740
3室1厅,高楼层/共6层,99.33,平层/其他,265,东关一区,怀柔,无,2024年01月02日,普通住宅,26679
3室1厅,低楼层/共11层,95.17,平层/精装,320,怀柔新新家园,怀柔,配备电梯,2023年12月31日,普通住宅,33625
3室1厅,高楼层/共6层,91.96,平层/其他,235,富乐社区一号院,怀柔,无,2024年01月01日,普通住宅,25555
2室1厅,底层/共6层,69.46,平层/其他,178,富乐社区一号院,怀柔,无,2023年12月29日,普通住宅,25627
2室1厅,中楼层/共6层,56.77,平层/其他,165,湖光小区,怀柔,无,2023年12月27日,普通住宅,29065
2室1厅,顶层/共6层,64.37,平层/其他,165,于家园二区南院,怀柔,无,2023年12月31日,普通住宅,25634
3室1厅,中楼层/共6层,96.5,平层/其他,260,富乐小区北里,怀柔,无,2023年12月27日,普通住宅,26944
2室1厅,底层/共6层,64.38,平层/其他,210,青春路六院,怀柔,无,2023年12月22日,普通住宅,32619
2室1厅,低楼层/共6层,96.8,平层/其他,255,栖美园,怀柔,无,2023年12月26日,普通住宅,26343
2室1厅,高楼层/共15层,67.21,平层/其他,150,裕华园一区,怀柔,配备电梯,2023年12月28日,普通住宅,22319
2室1厅,中楼层/共6层,72.09,平层/简装,205,潘家园小区,怀柔,无,2023年12月22日,普通住宅,28437
2室1厅,中楼层/共8层,66.45,平层/精装,163,育龙铭居,怀柔,无,2023年12月21日,普通住宅,24530
3室1厅,中楼层/共6层,75.34,平层/其他,208,北街二号院,怀柔,无,2023年12月30日,普通住宅,27609
3室1厅,顶层/共6层,72.06,平层/其他,190,东关一区,怀柔,无,2023年12月24日,普通住宅,26367
4室2厅,高楼层/共6层,142.21,平层/精装,565,水岸雁栖,怀柔,无,2023年12月20日,普通住宅,39730
1室1厅,中楼层/共6层,71.62,平层/其他,180,栖美园,怀柔,无,2023年12月17日,普通住宅,25133
2室1厅,顶层/共5层,51.73,平层/简装,146,滨湖小区,怀柔,无,2023年12月18日,普通住宅,28224
4室2厅,顶层/共6层,149.15,平层/其他,306,小中富乐二区,怀柔,无,2023年12月17日,普通住宅,20517
2室1厅,顶层/共6层,60.75,平层/其他,175,青春路一院,怀柔,无,2023年12月23日,普通住宅,28807
2室1厅,底层/共6层,75.99,平层/其他,176,金善名居,怀柔,无,2023年12月20日,普通住宅,23161
3室2厅,中楼层/共4层,133.03,平层/其他,400,顶秀美泉小镇C区,怀柔,无,2023年12月18日,普通住宅,30069
2室2厅,顶层/共6层,82.13,平层/其他,168,幸福东园1号院,怀柔,无,2023年12月16日,普通住宅,20456
2室1厅,中楼层/共5层,60.14,平层/其他,195,滨湖小区,怀柔,无,2023年12月21日,普通住宅,32425
1室2厅,低楼层/共17层,70.05,平层/其他,138,安乐馨居,怀柔,配备电梯,2023年12月16日,普通住宅,19701
2室2厅,中楼层/共17层,85.76,平层/其他,168,安乐馨居,怀柔,配备电梯,2023年12月16日,普通住宅,19590
3室1厅,中楼层/共15层,109.9,平层/其他,410,北京城建胜悦居,怀柔,配备电梯,2023年12月17日,普通住宅,37307
2室1厅,低楼层/共14层,88.29,平层/其他,195,梦想家园西区,怀柔,配备电梯,2023年12月16日,普通住宅,22087
3室2厅,中楼层/共6层,118.9,平层/精装,355,翠竹园小区,怀柔,无,2023年12月15日,普通住宅,29858
3室1厅,顶层/共6层,85.66,平层/精装,205,南华大街,怀柔,无,2023年12月15日,普通住宅,23932
2室1厅,中楼层/共6层,62.7,平层/精装,165,富乐社区一号院,怀柔,无,2023年12月15日,普通住宅,26316
3室2厅,底层/共5层,107.35,平层/其他,265,东园南区,怀柔,无,2023年12月16日,普通住宅,24686
3室1厅,顶层/共6层,93.97,平层/精装,170,融城园南区,怀柔,无,2023年12月21日,普通住宅,18091
2室1厅,中楼层/共4层,85.41,平层/简装,251,顶秀美泉小镇A区,怀柔,无,2023年12月13日,普通住宅,29388
2室1厅,高楼层/共6层,87.23,平层/简装,220,乐红园,怀柔,无,2023年12月13日,普通住宅,25221
3室1厅,中楼层/共6层,115.73,平层/简装,342,青春路一院,怀柔,无,2023年12月13日,普通住宅,29552
3室1厅,中楼层/共6层,90.48,平层/简装,240,潘家园小区,怀柔,无,2023年12月13日,普通住宅,26526
2室1厅,高楼层/共6层,62.98,平层/精装,185,富乐社区一号院,怀柔,无,2023年12月16日,普通住宅,29375
3室1厅,顶层/共6层,117.31,平层/其他,285,开利园小区,怀柔,无,2023年12月11日,普通住宅,24295
2室1厅,中楼层/共4层,67.09,平层/其他,180,开利园小区,怀柔,无,2023年12月12日,普通住宅,26830
2室2厅,顶层/共6层,103.86,平层/精装,280,龙湖花园,怀柔,无,2023年12月11日,普通住宅,26960
2室1厅,顶层/共6层,63.51,平层/简装,165,富乐社区一号院,怀柔,无,2023年12月17日,普通住宅,25981
3室1厅,顶层/共6层,90.67,平层/其他,240,南华园四区,怀柔,无,2023年12月13日,普通住宅,26470
3室1厅,高楼层/共6层,72.35,平层/其他,191,杨家园小区,怀柔,无,2023年12月11日,普通住宅,26400
3室1厅,高楼层/共6层,74.27,平层/其他,200,湖光小区,怀柔,无,2023年12月14日,普通住宅,26929
3室2厅,中楼层/共7层,131.89,平层/简装,295,益田影人四季花园,怀柔,配备电梯,2023年12月20日,普通住宅,22368
3室1厅,顶层/共6层,90.45,平层/精装,210,东关二区小区,怀柔,无,2023年12月08日,普通住宅,23218
3室1厅,顶层/共6层,84.67,平层/其他,193,北大街1号院,怀柔,无,2023年12月24日,普通住宅,22795
3室1厅,高楼层/共6层,92.86,平层/其他,300,北街二号院,怀柔,无,2023年12月09日,普通住宅,32307
3室1厅,中楼层/共6层,67.89,平层/其他,180,富乐社区一号院,怀柔,无,2023年12月09日,普通住宅,26514
2室1厅,顶层/共9层,65.81,平层/其他,160,育龙铭居,怀柔,无,2023年12月10日,普通住宅,24313
2室1厅,高楼层/共15层,73.86,平层/精装,265,北京城建胜悦居,怀柔,配备电梯,2023年12月16日,普通住宅,35879
3室2厅,顶层/共5层,87.79,平层/其他,185,凤瑞二园,怀柔,无,2023年12月10日,普通住宅,21074
3室1厅,顶层/共6层,85.9,平层/精装,210,莲馨苑,怀柔,无,2023年12月06日,普通住宅,24448
2室1厅,顶层/共6层,51.81,平层/简装,161,东园北区,怀柔,无,2023年12月06日,普通住宅,31076
3室2厅,中楼层/共12层,142.01,平层/其他,580,府前观邸,怀柔,配备电梯,2023年12月04日,普通住宅,40843
3室1厅,中楼层/共6层,76.87,平层/其他,210,府前东街13号院,怀柔,无,2023年12月03日,普通住宅,27319
3室1厅,高楼层/共9层,116.13,平层/精装,450,府前观邸,怀柔,配备电梯,2023年12月05日,普通住宅,38750
2室1厅,高楼层/共6层,65.1,平层/其他,195,世嘉光织谷东区,怀柔,配备电梯,2023年12月15日,普通住宅,29954
3室1厅,中楼层/共5层,88.16,平层/其他,260,湖光小区,怀柔,无,2023年12月03日,普通住宅,29492
2室1厅,高楼层/共16层,90.54,平层/其他,330,怀柔新新家园,怀柔,配备电梯,2023年12月02日,普通住宅,36448
2室1厅,中楼层/共6层,77.13,平层/简装,205,南华园四区,怀柔,无,2023年12月01日,普通住宅,26579
2室2厅,中楼层/共6层,92.1,平层/简装,255,美丽家园,怀柔,无,2023年12月09日,普通住宅,27688
1室1厅,中楼层/共5层,56.63,平层/精装,165,滨湖小区,怀柔,无,2023年12月01日,普通住宅,29137
2室1厅,顶层/共6层,68.06,平层/其他,180,东关二区小区,怀柔,无,2023年12月02日,普通住宅,26448
3室2厅,低楼层/共7层,135.21,平层/精装,468,顶秀美泉小镇B区,怀柔,无,2023年12月19日,普通住宅,34613
3室1厅,中楼层/共6层,73.56,平层/精装,218,东园南区,怀柔,无,2023年12月05日,普通住宅,29636
3室1厅,中楼层/共6层,105.3,平层/其他,396,兴怀大街小区,怀柔,无,2023年12月18日,普通住宅,37607
2室1厅,低楼层/共26层,78.55,平层/精装,340,龙山御景,怀柔,配备电梯,2023年12月01日,普通住宅,43285
3室1厅,高楼层/共6层,75.52,平层/其他,150,怡安园小区,怀柔,无,2023年12月01日,普通住宅,19863
1室1厅,高楼层/共15层,51.49,平层/精装,105,裕华园一区,怀柔,无,2023年11月29日,普通住宅,20393
1室1厅,顶层/共15层,51.73,平层/精装,95,裕华园一区,怀柔,无,2023年12月01日,普通住宅,18365
3室1厅,中楼层/共6层,80.19,平层/精装,249,湖光小区,怀柔,无,2023年11月30日,普通住宅,31052
2室1厅,低楼层/共16层,78.2,平层/其他,165,裕华园一区,怀柔,配备电梯,2023年12月01日,普通住宅,21100
3室2厅,顶层/共6层,159.04,平层/其他,618,南大街35号院,怀柔,无,2023年12月07日,普通住宅,38859
2室2厅,中楼层/共6层,72.5,平层/其他,160,怡安园小区,怀柔,无,2023年12月19日,普通住宅,22069
2室1厅,低楼层/共6层,68.67,平层/其他,205,于家园二区南院,怀柔,无,2023年11月25日,普通住宅,29853
3室1厅,低楼层/共6层,99.3,平层/其他,330,东关一区,怀柔,无,2023年12月02日,普通住宅,33233
3室2厅,底层/共4层,138.04,平层/精装,345,顶秀美泉小镇A区,怀柔,无,2023年11月25日,普通住宅,24993
2室1厅,中楼层/共5层,89.49,平层/精装,302,顶秀美泉小镇B区,怀柔,配备电梯,2023年11月26日,普通住宅,33747
3室1厅,低楼层/共6层,85.35,平层/简装,230,莲馨苑,怀柔,无,2023年12月01日,普通住宅,26948
1室1厅,中楼层/共6层,70.31,平层/其他,179,世嘉光织谷东区,怀柔,配备电梯,2024年01月02日,普通住宅,25459
3室2厅,中楼层/共6层,130.36,平层/其他,258,幸福东园2号院,怀柔,无,2023年12月18日,普通住宅,19792
3室2厅,中楼层/共6层,129.53,平层/其他,355,龍祥小區,怀柔,无,2023年12月01日,普通住宅,27407
3室1厅,低楼层/共15层,109.68,平层/其他,395,北京城建胜悦居,怀柔,配备电梯,2023年11月25日,普通住宅,36014
2室1厅,高楼层/共6层,62.24,平层/简装,175,府前东街九院,怀柔,无,2023年11月24日,普通住宅,28117
3室1厅,中楼层/共5层,70.94,平层/其他,234,南华园二区,怀柔,无,2023年11月23日,普通住宅,32986
3室1厅,中楼层/共6层,89.32,平层/简装,258,新兴居,怀柔,无,2023年11月19日,普通住宅,28885
2室1厅,中楼层/共6层,76.88,平层/精装,228,栖美园,怀柔,无,2023年11月19日,普通住宅,29657
2室2厅,低楼层/共6层,97.46,平层/简装,219,富乐家园,怀柔,无,2023年11月26日,普通住宅,22471
2室1厅,高楼层/共16层,79.93,平层/其他,169,裕华园一区,怀柔,无,2023年11月19日,普通住宅,21144
1室1厅,顶层/共4层,49.22,平层/其他,135,开利园小区,怀柔,无,2023年11月18日,普通住宅,27428
3室1厅,底层/共6层,57.21,平层/其他,220,东园南区,怀柔,无,2023年11月18日,普通住宅,38455
2室1厅,中楼层/共6层,57.46,平层/其他,198,后横街小区,怀柔,无,2023年11月26日,普通住宅,34459
2室1厅,中楼层/共8层,98.83,平层/简装,260,益田影人四季花园,怀柔,配备电梯,2023年11月24日,普通住宅,26308
3室1厅,高楼层/共6层,91.32,平层/简装,248,潘家园小区,怀柔,无,2023年11月22日,普通住宅,27158
2室2厅,低楼层/共6层,85.41,平层/其他,256,融城园北区,怀柔,无,2023年12月09日,普通住宅,29974
1室1厅,高楼层/共15层,51.74,平层/精装,105,裕华园一区,怀柔,无,2023年12月06日,普通住宅,20294
2室1厅,中楼层/共5层,88.83,平层/其他,325,顶秀美泉小镇B区,怀柔,配备电梯,2023年11月16日,普通住宅,36587
2室1厅,顶层/共13层,88.45,平层/其他,168,柏泉庄园雁鸣园B区,怀柔,配备电梯,2023年12月20日,普通住宅,18994
2室1厅,中楼层/共6层,75.01,平层/简装,215,富乐社区一号院,怀柔,无,2023年11月16日,普通住宅,28663
3室1厅,高楼层/共6层,77.45,平层/精装,219,南大街乙33号,怀柔,无,2023年11月17日,普通住宅,28277
1室1厅,中楼层/共11层,60.2,平层/其他,198,北京城建胜悦居,怀柔,配备电梯,2023年11月15日,普通住宅,32891
2室2厅,底层/共15层,88.75,平层/其他,298,北京城建胜悦居,怀柔,无,2023年11月15日,普通住宅,33578
3室2厅,低楼层/共7层,123.99,平层/其他,345,世嘉光织谷东区,怀柔,配备电梯,2023年11月20日,普通住宅,27825
2室1厅,中楼层/共8层,65.91,平层/简装,155,育龙铭居,怀柔,无,2023年11月14日,普通住宅,23517
3室2厅,中楼层/共4层,133.74,平层/精装,356,顶秀美泉小镇A区,怀柔,无,2023年11月17日,普通住宅,26619
3室2厅,中楼层/共5层,118.48,平层/其他,315,滨湖南街小区,怀柔,无,2023年11月25日,普通住宅,26587
3室1厅,中楼层/共6层,106.23,平层/其他,335,东关一区,怀柔,无,2023年11月26日,普通住宅,31536
2室1厅,底层/共6层,79.92,平层/简装,199,融城园北区,怀柔,无,2023年11月13日,普通住宅,24900
3室1厅,顶层/共6层,78.13,平层/精装,210,东关二区小区,怀柔,无,2023年11月25日,普通住宅,26879
2室1厅,中楼层/共5层,56.03,平层/简装,155,滨湖小区,怀柔,无,2023年11月18日,普通住宅,27664
